athlete,x100m,long_jump,shot_put,high_jump,x400m,x110m_hurdle,discus,pole_vault,javelin,x1500m,points,competition
sebrle,11.04,7.58,14.83,2.07,49.81,14.69,43.75,5.02,63.19,291.7,8217,decastar
clay,10.76,7.4,14.26,1.86,49.37,14.05,50.72,4.92,60.15,301.5,8122,decastar
karpov,11.02,7.3,14.77,2.04,48.37,14.09,48.95,4.92,50.31,300.2,8099,decastar
bernard,11.02,7.23,14.25,1.92,48.93,14.99,40.87,5.32,62.77,280.1,8067,decastar
yurkov,11.34,7.09,15.19,2.1,50.42,15.31,46.26,4.72,63.44,276.4,8036,decastar
warners,11.11,7.6,14.31,1.98,48.68,14.23,41.1,4.92,51.77,278.1,8030,decastar
zsivoczky,11.13,7.3,13.48,2.01,48.62,14.17,45.67,4.42,55.37,268,8004,decastar
mcmullen,10.83,7.31,13.76,2.13,49.91,14.38,44.41,4.42,56.37,285.1,7995,decastar
martineau,11.64,6.81,14.57,1.95,50.14,14.93,47.6,4.92,52.33,262.1,7802,decastar
hernu,11.37,7.56,14.41,1.86,51.1,15.06,44.99,4.82,57.19,285.1,7733,decastar
barras,11.33,6.97,14.09,1.95,49.48,14.48,42.1,4.72,55.4,282,7708,decastar
nool,11.33,7.27,12.68,1.98,49.2,15.29,37.92,4.62,57.44,266.6,7651,decastar
bourguignon,11.36,6.8,13.46,1.86,51.16,15.67,40.49,5.02,54.68,291.7,7313,decastar
sebrle,10.85,7.84,16.36,2.12,48.36,14.05,48.72,5,70.52,280.01,8893,olympic_games
clay,10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.9,69.71,282,8820,olympic_games
karpov,10.5,7.81,15.93,2.09,46.81,13.97,51.65,4.6,55.54,278.11,8725,olympic_games
macey,10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.4,58.46,265.42,8414,olympic_games
warners,10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.9,55.39,278.05,8343,olympic_games
zsivoczky,10.91,7.14,15.31,2.12,49.4,14.95,45.62,4.7,63.45,269.54,8287,olympic_games
hernu,10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.8,57.76,264.35,8237,olympic_games
nool,10.8,7.53,14.26,1.88,48.81,14.8,42.05,5.4,61.33,276.33,8235,olympic_games
bernard,10.69,7.48,14.8,2.12,49.13,14.17,44.75,4.4,55.27,276.31,8225,olympic_games
schwarzl,10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.1,56.32,273.56,8102,olympic_games
pogorelov,10.95,7.31,15.1,2.06,50.79,14.21,44.6,5,53.45,287.63,8084,olympic_games
schoenbeck,10.9,7.3,14.77,1.88,50.3,14.34,44.41,5,60.89,278.82,8077,olympic_games
barras,11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.6,64.55,267.09,8067,olympic_games
smith,10.85,6.81,15.24,1.91,49.27,14.01,49.02,4.2,61.52,272.74,8023,olympic_games
averyanov,10.55,7.34,14.44,1.94,49.72,14.39,39.88,4.8,54.51,271.02,8021,olympic_games
ojaniemi,10.68,7.5,14.97,1.94,49.12,15.01,40.35,4.6,59.26,275.71,8006,olympic_games
smirnov,10.89,7.07,13.88,1.94,49.11,14.77,42.47,4.7,60.88,263.31,7993,olympic_games
qi,11.06,7.34,13.55,1.97,49.65,14.78,45.13,4.5,60.79,272.63,7934,olympic_games
drews,10.87,7.38,13.07,1.88,48.51,14.01,40.11,5,51.53,274.21,7926,olympic_games
parkhomenko,11.14,6.61,15.69,2.03,51.04,14.88,41.9,4.8,65.82,277.94,7918,olympic_games
terek,10.92,6.94,15.15,1.94,49.56,15.12,45.62,5.3,50.62,290.36,7893,olympic_games
gomez,11.08,7.26,14.57,1.85,48.61,14.41,40.95,4.4,60.71,269.7,7865,olympic_games
turi,11.08,6.91,13.62,2.03,51.67,14.26,39.83,4.8,59.34,290.01,7708,olympic_games
lorenzo,11.1,7.03,13.22,1.85,49.34,15.38,40.22,4.5,58.36,263.08,7592,olympic_games
karlivans,11.33,7.26,13.3,1.97,50.54,14.98,43.34,4.5,52.92,278.67,7583,olympic_games
korkizoglou,10.86,7.07,14.81,1.94,51.16,14.96,46.07,4.7,53.05,317,7573,olympic_games
uldal,11.23,6.99,13.53,1.85,50.95,15.09,43.01,4.5,60,281.7,7495,olympic_games
casarsa,11.36,6.68,14.92,1.94,53.2,15.39,48.66,4.4,58.62,296.12,7404,olympic_games
